,danceability,tempo,loudness,mode,track_album_name,valence
0,0.603,127984.0,-4571.0,0.0,Typhoon/Storm,0.0894
1,0.428,128.17,-1814.0,1.0,City Of Lights (Vocal Mix),0.21
2,0.522,128041.0,-4462.0,1.0,Closer Remixed,0.4
3,0.626,128008.0,-3361.0,1.0,Only For You (Remixes),0.308
4,0.529,127989.0,-4899.0,0.0,Sweet Surrender (Radio Edit),0.436
5,0.581,128001.0,-8367.0,1.0,Many Ways,0.288
6,0.645,112028.0,-5595.0,1.0,Wasted,0.375
7,0.559,128012.0,-3.05,1.0,Booyah,0.195
8,0.545,125014.0,-4867.0,0.0,True,0.458
9,0.609,130046.0,-3.51,1.0,Everybody Is In The Place (Radio Edit),0.0358
10,0.627,128025.0,-5525.0,0.0,Atlantic Records Miami 2014,0.216
11,0.701,127979.0,-4514.0,0.0,Unleash,0.342
12,0.576,127.94,-4037.0,0.0,Leaving You (Remixes - Part 1),0.687
13,0.624,127985.0,-6664.0,1.0,Dawn,0.339
14,0.568,125967.0,-3156.0,1.0,Eject pt. I,0.28
15,0.584,127988.0,-4456.0,0.0,Dear Life,0.363
16,0.516,132048.0,-6137.0,0.0,EIFORYA,0.162
17,0.602,126001.0,-3561.0,0.0,We Own The Night,0.402
18,0.72,127996.0,-4069.0,0.0,Monstercat 012 - Aftermath,0.217
19,0.613,127906.0,-4.04,0.0,Invincible,0.391
20,0.49,127998.0,-3152.0,1.0,Utopia,0.185
21,0.49,126004.0,-6854.0,1.0,X You,0.106
22,0.616,129958.0,-3675.0,0.0,Helium,0.624
23,0.599,128004.0,-4654.0,0.0,Lights & Thunder,0.171
24,0.599,127997.0,-3727.0,0.0,Spaceman,0.118
25,0.712,139987.0,-8976.0,1.0,Spaceman (Carnage Festival Trap Remix),0.238
26,0.594,128028.0,-3049.0,1.0,No One Knows Who We Are (Radio Edit) (feat. Lights),0.14
27,0.671,128.0,-4518.0,0.0,Jumper (Radio Edit),0.0868
28,0.479,145022.0,-4893.0,0.0,Calling All Heroes - EP,0.189
29,0.567,127983.0,-3534.0,1.0,Clarity,0.305
30,0.655,123.0,-3678.0,0.0,Calling All Heroes - EP,0.272
31,0.769,128005.0,-2703.0,1.0,Countdown,0.207
32,0.576,127986.0,-6113.0,1.0,Drive,0.314
33,0.507,126879.0,-7598.0,1.0,Save The World,0.4
34,0.525,127021.0,-3429.0,1.0,Ten Feet Tall,0.346
35,0.413,136341.0,-3609.0,1.0,Get Loose,0.166
36,0.479,128012.0,-5778.0,0.0,Rising Like The Sun,0.211
37,0.51,129068.0,-3096.0,0.0,Lightning EP,0.155
38,0.483,124.99,-2973.0,0.0,You Are Like Nobody Else,0.103
39,0.496,127961.0,-3648.0,1.0,How You Love Me,0.286
40,0.718,127988.0,-2.99,0.0,Reason,0.519
41,0.764,128073.0,-5826.0,0.0,All You,0.576
42,0.375,127953.0,-3462.0,0.0,Escape (Radio Edit),0.0927
43,0.49,128031.0,-5.7,0.0,We Own The Night,0.33
44,0.556,125997.0,-4045.0,1.0,Fade Into Darkness,0.771
45,0.603,127962.0,-3565.0,0.0,Summer,0.72
46,0.577,127997.0,-4828.0,1.0,Take Me,0.563
47,0.664,127948.0,-3312.0,1.0,Against the World - Single,0.286
48,0.606,127986.0,-6253.0,0.0,All of Me (Tiësto's Birthday Treatment Remix) [Radio Edit],0.179
49,0.553,127997.0,-2025.0,1.0,All The Way,0.552
50,0.689,128.01,-2952.0,1.0,Arabian Bounce,0.107
51,0.588,122971.0,-4617.0,1.0,Atmosphere,0.465
52,0.637,129901.0,-4814.0,0.0,Blackhawk,0.0922
53,0.624,127925.0,-3536.0,1.0,Bomba Latina,0.0723
54,0.783,127981.0,-4826.0,1.0,Bum Bum Tam Tam (Kura Remix),0.851
55,0.402,128.37,-6.39,0.0,Burn The World,0.0867
56,0.711,150067.0,-1556.0,0.0,Butt is Hot,0.489
57,0.464,135045.0,-6411.0,0.0,Caffeine,0.252
58,0.392,129936.0,-4006.0,0.0,Can't Stop Me (feat. Shermanology),0.325
59,0.686,126991.0,-8446.0,0.0,Cause Effect EP,0.0374
60,0.601,128.09,-2.52,1.0,Circles,0.527
61,0.535,134978.0,-5563.0,0.0,Colours (Pantac Remix),0.12
62,0.643,142999.0,-6598.0,0.0,"The Remixes, Vol. 2",0.262
63,0.592,128057.0,-6896.0,0.0,Crashing Down,0.0998
64,0.786,126.02,-10795.0,1.0,Ordinary Cosmic Dance EP,0.368
65,0.686,124995.0,-5911.0,1.0,True,0.253
66,0.617,124.99,-3396.0,0.0,Lost Souls EP,0.379
67,0.536,127938.0,-4306.0,1.0,Don't Hold Us,0.624
68,0.507,128003.0,-4324.0,1.0,Dracarys,0.139
69,0.715,124012.0,-8105.0,1.0,Criminal Bassline: Various Artists I,0.152
70,0.572,128114.0,-4246.0,1.0,Electric Energy,0.148
71,0.622,133994.0,-2709.0,0.0,Elevare,0.289
72,0.815,123007.0,-9978.0,0.0,Subservient EP,0.377
73,0.605,129.99,-5526.0,0.0,The World of Six,0.159
74,0.716,128011.0,-4963.0,1.0,Everybody Clap,0.125
75,0.709,115987.0,-3.94,0.0,Falling,0.675
76,0.631,129992.0,-5733.0,1.0,Feel The Love (Remixes),0.15
77,0.556,127993.0,-4091.0,0.0,Find Our Way (feat. Chandler Blasé),0.474
78,0.548,128.03,-5403.0,0.0,Find The Love,0.229
79,0.517,128064.0,-4012.0,1.0,Focus,0.354
80,0.587,127997.0,-4534.0,1.0,Future Technology,0.0352
81,0.786,127995.0,-3785.0,1.0,Get Up (Rattle),0.496
82,0.61,130026.0,-6572.0,0.0,Giratina (Remixes),0.1
83,0.809,123004.0,-8871.0,1.0,Criminal Bassline: Various Artists I,0.832
84,0.597,130023.0,-6054.0,0.0,Embrace Remix EP #4,0.138
85,0.807,121003.0,-11104.0,1.0,Desole,0.246
86,0.68,130036.0,-2416.0,0.0,Headshot,0.249
87,0.669,128.01,-3679.0,1.0,Heart,0.262
88,0.524,127868.0,-4604.0,0.0,Here Tonight,0.196
89,0.619,149.94,-4103.0,0.0,Hole in the Earth,0.523
90,0.737,130021.0,-6656.0,0.0,I Like The Way (Remixes),0.722
91,0.613,140009.0,-6213.0,0.0,I Like This F’n Song,0.111
92,0.606,127965.0,-3391.0,1.0,I See,0.29
93,0.502,129.99,-4951.0,1.0,If I Fall,0.158
94,0.518,125985.0,-4.88,1.0,If I Lose Myself (Alesso vs OneRepublic),0.152
95,0.805,124992.0,-6279.0,1.0,In Hypnose,0.222
96,0.624,144968.0,-7981.0,0.0,Inner Peace,0.188
97,0.697,138056.0,-3959.0,0.0,It Ain't Over (The Remixes),0.148
98,0.762,126023.0,-12912.0,0.0,Mabruk EP,0.048
99,0.532,128022.0,-2507.0,1.0,Nothing but the Beat 2.0,0.208
100,0.66,139985.0,-4524.0,0.0,"Kick, Bass & Trance",0.0925
101,0.768,125003.0,-10352.0,0.0,"Astral Wars, Vol. 1",0.105
102,0.585,127989.0,-4335.0,1.0,Fire & Ice,0.597
103,0.705,127978.0,-6587.0,0.0,Liberty,0.245
104,0.591,125924.0,-3329.0,1.0,Lift Me Up,0.31
105,0.718,129969.0,-4002.0,1.0,Looking At Me,0.486
106,0.558,127.96,-4055.0,1.0,Love Again - The Remixes,0.044
107,0.411,127887.0,-3974.0,0.0,Magical,0.348
108,0.59,137774.0,-4024.0,1.0,Matrix,0.188
109,0.592,127998.0,-2061.0,0.0,Miami 82,0.678
110,0.572,127873.0,-5728.0,0.0,Monster (with Magnificence),0.122
111,0.588,128028.0,-7516.0,0.0,More Of Your Love,0.225
112,0.162,195041.0,-4422.0,1.0,Music Is Our Religion,0.266
113,0.618,128028.0,-3309.0,0.0,Never Fade,0.173
114,0.426,129982.0,-3529.0,0.0,Never Say Goodbye,0.05
115,0.798,124019.0,-11894.0,0.0,"Wildwechsel, Vol. 4 - Sophisticated Deep Tech-House Music",0.0767
116,0.697,139982.0,-3306.0,1.0,No One (Dimatik Remix),0.127
117,0.496,125909.0,-3241.0,0.0,No Sound,0.323
118,0.683,126009.0,-11904.0,0.0,Oblivion,0.0372
119,0.62,127994.0,-3.18,0.0,Obsessed (Tiësto Remix),0.375
120,0.789,122005.0,-11665.0,1.0,"The Odyssey, Part 1",0.0323
121,0.616,127979.0,-1566.0,1.0,Old School,0.189
122,0.457,128032.0,-2843.0,0.0,On Your Side,0.0962
123,0.854,125992.0,-4567.0,0.0,Parado No Bailão,0.554
124,0.635,125002.0,-4753.0,1.0,Together,0.414
125,0.71,127982.0,-1514.0,1.0,Path,0.285
126,0.784,128.0,-10592.0,1.0,Perfect Mess EP,0.175
127,0.692,127979.0,-5378.0,0.0,Play It Cool (Quintino Remix),0.494
128,0.604,130.03,-1.44,1.0,Clarity (Deluxe),0.252
129,0.587,127992.0,-3626.0,1.0,Raaja,0.19
130,0.628,128093.0,-2776.0,0.0,Rave (feat. Kris Kiss),0.464
131,0.603,127948.0,-3608.0,0.0,Rebound,0.587
132,0.654,124993.0,-4767.0,1.0,Red Lights,0.562
133,0.741,123979.0,-12379.0,1.0,Realm Of Consciousness Pt.II,0.13
134,0.665,128135.0,-3261.0,1.0,Retumba,0.361
135,0.59,128027.0,-4806.0,0.0,S.T.S.,0.116
136,0.541,123952.0,-3299.0,1.0,Sad Song (feat. TINI) (Alesso Remix),0.2
137,0.661,123985.0,-8606.0,0.0,Samurai,0.0861
138,0.644,128.03,-1732.0,0.0,Overtime EP,0.525
139,0.661,132173.0,-4913.0,0.0,Scream Loud,0.335
140,0.451,109472.0,-2061.0,1.0,"Shakalaka (Steve Aoki, Deorro, MAKJ & Max Styler)",0.479
141,0.55,127983.0,-4484.0,1.0,Smile Remixes,0.166
142,0.651,127949.0,-2751.0,0.0,So Good,0.154
143,0.649,131954.0,-2023.0,0.0,Sounds Like,0.184
144,0.715,124989.0,-7295.0,1.0,Space,0.174
145,0.593,124986.0,-7782.0,1.0,Stay (Don't Go Away) [feat. Raye] [Nicky Romero Remix],0.233
146,0.598,125968.0,-4197.0,0.0,Stay The Same (Dave Ruthwell & Mr. Sid Remix),0.279
147,0.698,150038.0,-5103.0,1.0,EDM Sucks / Island Boy,0.347
148,0.583,129977.0,-7425.0,0.0,Strangers,0.503
149,0.636,123009.0,-8.23,0.0,Subservient EP,0.471
150,0.572,126052.0,-5791.0,0.0,Summertime Sadness [Lana Del Rey vs. Cedric Gervais] (Cedric Gervais Remix),0.11
151,0.711,124034.0,-2863.0,0.0,Take Over Control,0.341
152,0.792,130005.0,-10188.0,1.0,Coyu Raw Tracks Vol. 2,0.0284
153,0.637,126031.0,-3754.0,1.0,The Spark,0.513
154,0.673,127981.0,-2698.0,1.0,The Tribe,0.046
155,0.725,127985.0,-3715.0,0.0,18 Months,0.748
156,0.688,129933.0,-2383.0,1.0,Third Eye,0.321
157,0.709,124078.0,-7293.0,1.0,This Is How We Party (Cat Dealers Remix),0.0639
158,0.552,129889.0,-5217.0,1.0,This Is What It Feels Like,0.144
159,0.629,128003.0,-3661.0,0.0,"A State Of Trance 600 - Madison Square Garden, New York City (Highlights)",0.18
160,0.407,131806.0,-6185.0,1.0,Tokyo,0.176
161,0.618,123502.0,-2.97,1.0,Touching Me,0.563
162,0.779,150.0,-5338.0,1.0,Trap 4 Real,0.776
163,0.632,139051.0,-3311.0,1.0,Tricky Tricky,0.0919
164,0.509,126971.0,-7922.0,0.0,"I Love You, Man (Bonus Track Version)",0.413
165,0.55,126065.0,-3431.0,1.0,Under Control (feat. Hurts),0.511
166,0.575,129004.0,-4687.0,0.0,Speed of Life,0.641
167,0.678,138019.0,-5296.0,1.0,Untz Untz,0.31
168,0.514,130005.0,-4352.0,0.0,Voices,0.0862
169,0.813,128005.0,-3074.0,0.0,Wait For Me (MOTi edit),0.153
170,0.516,124118.0,-5133.0,1.0,Wake Me Up,0.577
171,0.674,128083.0,-2687.0,0.0,Who's Got Your Love (Mike Williams Remix),0.359
172,0.591,130043.0,-3785.0,0.0,Wonderful Together (feat. Envy Monroe),0.235
173,0.638,138032.0,-5081.0,0.0,World At Our Feet (Deorro Remix),0.082
174,0.54,128092.0,-3785.0,0.0,Wrong for Me,0.174
175,0.551,125985.0,-4559.0,0.0,Young And Beautiful [Lana Del Rey vs. Cedric Gervais] (Cedric Gervais Remix Radio Edit),0.421
176,0.679,128029.0,-378.0,0.0,Young Love (feat. Koko LaRoo),0.652
177,0.577,128067.0,-4236.0,1.0,Younger Days,0.227
178,0.76,128001.0,-7898.0,0.0,Balance,0.429
179,0.637,104001.0,-11785.0,1.0,Ten,0.193
180,0.73,127996.0,-9404.0,0.0,23,0.136
181,0.694,124978.0,-7276.0,1.0,Exploring Stratosphere,0.042
182,0.801,126.01,-8288.0,1.0,Dissonanza - EP,0.332
183,0.76,125012.0,-5619.0,1.0,Feellit E.P.,0.19
184,0.682,97997.0,-14525.0,0.0,Ethnoscapes,0.0344
185,0.612,101002.0,-10637.0,1.0,Ambient Xpirals,0.0645
186,0.803,124981.0,-7911.0,0.0,Retrospectivo 2008 - 2016,0.103
187,0.694,108.01,-10095.0,1.0,Observatory,0.0712
188,0.688,126012.0,-10087.0,1.0,Biomorph,0.157
189,0.656,99989.0,-8374.0,1.0,Floating Spirals,0.0289
190,0.772,123.97,-9786.0,0.0,Locators,0.0655
191,0.802,113999.0,-13606.0,1.0,Connecting on a Deeper Level,0.0591
192,0.829,125015.0,-8.73,1.0,Interdependence,0.12
193,0.606,98004.0,-11412.0,1.0,Sticky Jam,0.164
194,0.75,120002.0,-11.04,1.0,Nandoo,0.306
195,0.853,118011.0,-8679.0,1.0,Tension / Erosion,0.475
196,0.812,125015.0,-7.1,1.0,22,0.178
197,0.74,127.0,-6182.0,0.0,Thunderstuck / Drums In The Deep,0.137
198,0.679,124023.0,-4338.0,0.0,Wake Turbulence 10.0,0.4
199,0.593,138052.0,-6.58,0.0,Adhana,0.0749
200,0.735,123015.0,-9937.0,1.0,Artha,0.0917
201,0.809,138004.0,-8409.0,0.0,Be Focused - Single,0.0633
202,0.667,138009.0,-6391.0,1.0,Life in Process,0.171
203,0.787,126021.0,-9417.0,0.0,Bipolar Star (2018 Remixes),0.0785
204,0.738,128001.0,-5716.0,0.0,Call It Techno EP,0.367
205,0.608,130002.0,-7102.0,1.0,Radical Cutting Methods,0.0519
206,0.875,124999.0,-5.71,1.0,The Solution,0.346
207,0.66,129004.0,-12517.0,1.0,Dia Cero,0.0486
208,0.703,127999.0,-7562.0,0.0,Embody Paradox,0.0793
209,0.725,128006.0,-8798.0,1.0,Stay With Me,0.134
210,0.654,134973.0,-6799.0,0.0,Hypnotic Energy Remixes,0.0596
211,0.716,138014.0,-7105.0,0.0,Journey Inside Yourself,0.136
212,0.666,125001.0,-6728.0,1.0,Moments,0.104
213,0.689,140079.0,-5646.0,1.0,Oracle,0.161
