,columns,RMSE across 5 folds,MEA across 5 folds
0,"('danceability', 'track_album_name', 'tempo')",-0.2146,-0.1762
1,"('danceability', 'track_album_name', 'loudness')",-0.2179,-0.1801
2,"('danceability', 'track_album_name', 'mode')",-0.2185,-0.1807
3,"('danceability', 'tempo', 'loudness')",-0.215,-0.1761
4,"('danceability', 'tempo', 'mode')",-0.2157,-0.1771
5,"('danceability', 'loudness', 'mode')",-0.2201,-0.1819
6,"('track_album_name', 'tempo', 'loudness')",-0.2257,-0.1873
7,"('track_album_name', 'tempo', 'mode')",-0.227,-0.1886
8,"('track_album_name', 'loudness', 'mode')",-0.2306,-0.1933
9,"('tempo', 'loudness', 'mode')",-0.2277,-0.1888
