,mean_test_neg_root_mean_squared_error,mean_test_neg_mean_absolute_error,param_model__activation,param_model__hidden_layer_sizes,param_model__solver,param_model__alpha
0,-0.23191823884476367,-0.19467344057885183,tanh,"(50, 100)",sgd,0.0001
1,-0.23148905744004272,-0.19350704115626344,tanh,"(50, 100)",adam,0.0001
2,-0.23203955554032585,-0.19485374958274132,tanh,"(100, 100)",sgd,0.0001
3,-0.24811325124736547,-0.20599829765350722,tanh,"(100, 100)",adam,0.0001
4,-0.2318986282217576,-0.19469423502079514,tanh,"(50, 100)",sgd,0.001
5,-0.23668923585504192,-0.19759319815274945,tanh,"(50, 100)",adam,0.001
6,-0.23170887800330778,-0.19455772735780125,tanh,"(100, 100)",sgd,0.001
7,-0.234175180410478,-0.19601409774294956,tanh,"(100, 100)",adam,0.001
8,-0.2357804764893791,-0.19758657712599187,tanh,"(50, 100)",sgd,0.01
9,-0.2356776354369255,-0.1967350781472657,tanh,"(50, 100)",adam,0.01
10,-0.23174869254952563,-0.1944860114227366,tanh,"(100, 100)",sgd,0.01
11,-0.2289260465663679,-0.19153916575465296,tanh,"(100, 100)",adam,0.01
12,-0.23207510850303925,-0.19483926037491797,tanh,"(50, 100)",sgd,0.1
13,-0.23012509858394656,-0.1923471152654085,tanh,"(50, 100)",adam,0.1
14,-0.23403143145019153,-0.19629115845361428,tanh,"(100, 100)",sgd,0.1
15,-0.23293581740634844,-0.1949901058973355,tanh,"(100, 100)",adam,0.1
16,-0.2323746868442252,-0.19522255880369574,logistic,"(50, 100)",sgd,0.0001
17,-0.22804821578187254,-0.19077377854934394,logistic,"(50, 100)",adam,0.0001
18,-0.23235048050256296,-0.19522668454372585,logistic,"(100, 100)",sgd,0.0001
19,-0.22831272614366713,-0.19103410735953297,logistic,"(100, 100)",adam,0.0001
20,-0.23232116550724324,-0.19523586478201643,logistic,"(50, 100)",sgd,0.001
21,-0.22927595306018844,-0.19165697424776612,logistic,"(50, 100)",adam,0.001
22,-0.23221819997553883,-0.19514876317848867,logistic,"(100, 100)",sgd,0.001
23,-0.22935998143897204,-0.1918424906848375,logistic,"(100, 100)",adam,0.001
24,-0.23216731355568365,-0.19508993234777816,logistic,"(50, 100)",sgd,0.01
25,-0.2282636139807503,-0.19071458606372427,logistic,"(50, 100)",adam,0.01
26,-0.2321761600656404,-0.19508597902618452,logistic,"(100, 100)",sgd,0.01
27,-0.22837327486303774,-0.19102514637587373,logistic,"(100, 100)",adam,0.01
28,-0.2322638638637898,-0.1951952555209646,logistic,"(50, 100)",sgd,0.1
29,-0.2285788658782406,-0.19117170992096716,logistic,"(50, 100)",adam,0.1
30,-0.23214324951916465,-0.19508525259415094,logistic,"(100, 100)",sgd,0.1
31,-0.22770306932922213,-0.1905543736591,logistic,"(100, 100)",adam,0.1
