,mean_test_neg_root_mean_squared_error,mean_test_neg_mean_absolute_error,param_model__activation,param_model__hidden_layer_sizes,param_model__solver,param_model__alpha
0,-0.2323055145544915,-0.1949756748323722,tanh,"(50, 100, 50, 50)",sgd,0.0001
1,-0.23070599165878777,-0.19301036935305804,tanh,"(50, 100, 50, 50)",adam,0.0001
2,-0.2322772071957388,-0.19501731095245675,tanh,"(16, 48, 48, 48)",sgd,0.0001
3,-0.23396962207627384,-0.19596052588103335,tanh,"(16, 48, 48, 48)",adam,0.0001
4,-0.2317779547475151,-0.19462293855735743,tanh,"(100, 100, 100, 100)",sgd,0.0001
5,-0.22954948277846315,-0.19166794048288666,tanh,"(100, 100, 100, 100)",adam,0.0001
6,-0.2320128972716687,-0.19482639890703685,tanh,"(50, 100, 50, 50)",sgd,0.001
7,-0.23087637407888387,-0.19358532657842326,tanh,"(50, 100, 50, 50)",adam,0.001
8,-0.24855354362506912,-0.20732858320733816,tanh,"(16, 48, 48, 48)",sgd,0.001
9,-0.23188853681889893,-0.19421911961906796,tanh,"(16, 48, 48, 48)",adam,0.001
10,-0.23200094155381357,-0.19480463606406423,tanh,"(100, 100, 100, 100)",sgd,0.001
11,-0.23064699986483203,-0.19313539279818276,tanh,"(100, 100, 100, 100)",adam,0.001
12,-0.23200101489360506,-0.19478646147879095,tanh,"(50, 100, 50, 50)",sgd,0.01
13,-0.2308869943853728,-0.19325597887387977,tanh,"(50, 100, 50, 50)",adam,0.01
14,-0.23175011379287333,-0.19450197757755983,tanh,"(16, 48, 48, 48)",sgd,0.01
15,-0.23211311015878316,-0.19468391347215086,tanh,"(16, 48, 48, 48)",adam,0.01
16,-0.23210086297294943,-0.1949134137886607,tanh,"(100, 100, 100, 100)",sgd,0.01
17,-0.22835350534853313,-0.19103503570823918,tanh,"(100, 100, 100, 100)",adam,0.01
18,-0.23216538047854068,-0.19500140981532615,tanh,"(50, 100, 50, 50)",sgd,0.1
19,-0.23037881675086166,-0.19310018796260373,tanh,"(50, 100, 50, 50)",adam,0.1
20,-0.23168225650654736,-0.19460481675058403,tanh,"(16, 48, 48, 48)",sgd,0.1
21,-0.2302760462018573,-0.19287920284202734,tanh,"(16, 48, 48, 48)",adam,0.1
22,-0.2315408789785749,-0.1945502514775374,tanh,"(100, 100, 100, 100)",sgd,0.1
23,-0.22948956116454777,-0.19204551934803682,tanh,"(100, 100, 100, 100)",adam,0.1
24,-0.23255454931036107,-0.19540408465059408,logistic,"(50, 100, 50, 50)",sgd,0.0001
25,-0.22761051661567366,-0.19037243903781995,logistic,"(50, 100, 50, 50)",adam,0.0001
26,-0.23258593841634362,-0.19543163914806333,logistic,"(16, 48, 48, 48)",sgd,0.0001
27,-0.2286278717356331,-0.19133827309541604,logistic,"(16, 48, 48, 48)",adam,0.0001
28,-0.2325916037066283,-0.195444275551867,logistic,"(100, 100, 100, 100)",sgd,0.0001
29,-0.2279549435000753,-0.19052256361247114,logistic,"(100, 100, 100, 100)",adam,0.0001
30,-0.23255456610152497,-0.1954040994252023,logistic,"(50, 100, 50, 50)",sgd,0.001
31,-0.22880089519165298,-0.19143779737927408,logistic,"(50, 100, 50, 50)",adam,0.001
32,-0.2325859450850038,-0.1954316455619523,logistic,"(16, 48, 48, 48)",sgd,0.001
33,-0.22831219540089243,-0.191105030606175,logistic,"(16, 48, 48, 48)",adam,0.001
34,-0.23259161271588277,-0.1954442830706733,logistic,"(100, 100, 100, 100)",sgd,0.001
35,-0.22793441493381167,-0.1907756415957312,logistic,"(100, 100, 100, 100)",adam,0.001
36,-0.23255473362276646,-0.19540424681527482,logistic,"(50, 100, 50, 50)",sgd,0.01
37,-0.22846333248228615,-0.19122266753973904,logistic,"(50, 100, 50, 50)",adam,0.01
38,-0.23258601168889842,-0.19543170961966289,logistic,"(16, 48, 48, 48)",sgd,0.01
39,-0.22908278774296256,-0.19176357969868105,logistic,"(16, 48, 48, 48)",adam,0.01
40,-0.23259170267125734,-0.19544435815082745,logistic,"(100, 100, 100, 100)",sgd,0.01
41,-0.22824767422718537,-0.1910934092825029,logistic,"(100, 100, 100, 100)",adam,0.01
42,-0.23255636986915174,-0.19540568540684616,logistic,"(50, 100, 50, 50)",sgd,0.1
43,-0.2330494237423113,-0.19579625221643987,logistic,"(50, 100, 50, 50)",adam,0.1
44,-0.23258666957530005,-0.1954323424117368,logistic,"(16, 48, 48, 48)",sgd,0.1
45,-0.23350197046548998,-0.19601441744723025,logistic,"(16, 48, 48, 48)",adam,0.1
46,-0.23259258884944617,-0.19544509844023367,logistic,"(100, 100, 100, 100)",sgd,0.1
47,-0.23373263335261724,-0.19621400849683948,logistic,"(100, 100, 100, 100)",adam,0.1
