,Unnamed: 0,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__n_estimators,params,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error,split0_train_neg_root_mean_squared_error,split1_train_neg_root_mean_squared_error,split2_train_neg_root_mean_squared_error,split3_train_neg_root_mean_squared_error,split4_train_neg_root_mean_squared_error,mean_train_neg_root_mean_squared_error,std_train_neg_root_mean_squared_error,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_train_neg_mean_absolute_error,split1_train_neg_mean_absolute_error,split2_train_neg_mean_absolute_error,split3_train_neg_mean_absolute_error,split4_train_neg_mean_absolute_error,mean_train_neg_mean_absolute_error,std_train_neg_mean_absolute_error
0,0,"0,37781867980957","0,103081117687046","0,0479073524475098","0,018263263457097",1,10,"{'model__max_depth': 1, 'model__n_estimators': 10}","-0,221267420591913","-0,225609379967119","-0,221413128767734","-0,222279026286785","-0,221645683856583",-0.222442927894027,"0,00162056682559666",87,"-0,221955579109554","-0,221483119984282","-0,221920110833957","-0,2221581267127","-0,222431881043326",-0.221989763536764,"0,000311936471725743","-0,183980278632352","-0,188281812986087","-0,18419285884728","-0,184918678640907","-0,183864624660763",-0.185047650753478,"0,00165806769081102",87,"-0,184804934874203","-0,184096976212102","-0,184601027250327","-0,184617652718946","-0,184966198661896",-0.184617357943495,"0,000292553884454692"
1,1,"0,444263792037964","0,0123150892964363","0,0435887336730957","0,00563833386197205",1,20,"{'model__max_depth': 1, 'model__n_estimators': 20}","-0,22109273759142","-0,22526896052533","-0,221390286240776","-0,22195141932351","-0,221612144294044",-0.222263109595016,"0,00152889749154076",86,"-0,221890722263013","-0,221266263830029","-0,221839786478688","-0,221907960140285","-0,222376708191071",-0.221856288180617,"0,000353013802897314","-0,183786433922042","-0,18801988200844","-0,18419718365809","-0,184707878350827","-0,18384662825129",-0.184911601238138,"0,00158829932899651",85,"-0,184726882599794","-0,18394536742257","-0,184540189030381","-0,184487307870468","-0,184947668077292",-0.184529483000101,"0,000333745330844628"
2,2,"0,586278343200684","0,0110706702992935","0,0448873996734619","0,00493629889914302",1,30,"{'model__max_depth': 1, 'model__n_estimators': 30}","-0,221058948481275","-0,225217335086944","-0,221409511396226","-0,221944240902117","-0,221591671028694",-0.222244341379051,"0,00151372572759959",85,"-0,221839745960521","-0,221207690921923","-0,221859020523875","-0,221871650176525","-0,222409886206877",-0.221837598757944,"0,000381030132070572","-0,183809038518066","-0,188022400201603","-0,184208910678374","-0,184686096502338","-0,18384045780164",-0.184913380740404,"0,00158648501914443",86,"-0,184698130867028","-0,183920603137276","-0,184557415069398","-0,184456147291456","-0,184973834328404",-0.184521226138712,"0,000347114488662069"
3,3,"0,445305156707764","0,0172282110929327","0,041655158996582","0,00495942033773815",2,10,"{'model__max_depth': 2, 'model__n_estimators': 10}","-0,21433928863987","-0,219817025517234","-0,215790619509949","-0,216084811271481","-0,217611589011133",-0.216728666789933,"0,00186124269504566",84,"-0,216473286661894","-0,215815875452445","-0,216057184645556","-0,216438618308757","-0,216137548974109",-0.216184502808552,"0,00024587456406212","-0,177918912825422","-0,182614863172961","-0,178310703816081","-0,179666967705405","-0,180046970279912",-0.179711683559956,"0,00165648058889586",84,"-0,179507907160676","-0,178794486461493","-0,179262784602831","-0,1792422416497","-0,179098202645574",-0.179181124504055,"0,000233904079683249"
4,4,"0,720424699783325","0,0109128650615946","0,0412932395935059","0,0020180394238055",2,20,"{'model__max_depth': 2, 'model__n_estimators': 20}","-0,214153575912609","-0,219461444382697","-0,215774384931724","-0,215762696694422","-0,217555536116655",-0.216541527607621,"0,00181391984409514",83,"-0,216403381614924","-0,215575806088561","-0,215934877187095","-0,21613600210759","-0,216053189139494",-0.216020651227533,"0,000270588792952429","-0,177730614008075","-0,182326372191205","-0,178301301831463","-0,179406953055388","-0,180004091062541",-0.179553866429734,"0,00160026506697253",83,"-0,179451164102431","-0,178608311079548","-0,179166153202536","-0,179030663368768","-0,179022342729781",-0.179055726896613,"0,000272208798229831"
5,5,"1,22469878196716","0,27193045922838","0,047130823135376","0,0050149348112323",2,30,"{'model__max_depth': 2, 'model__n_estimators': 30}","-0,214106634343529","-0,219398698124116","-0,215785608122468","-0,215733434851229","-0,217528852235135",-0.216510645535295,"0,00180480459590264",82,"-0,216338453637169","-0,21551160449286","-0,215937854948931","-0,216093840959895","-0,216106993007175",-0.215997749409206,"0,000274652998098835","-0,177745743106264","-0,182313161403287","-0,178299285409149","-0,179379273929664","-0,180006085157338",-0.17954870980114,"0,00159322588516186",82,"-0,179412053456172","-0,178575504848137","-0,179174795863596","-0,179011817689594","-0,179085626710842",-0.179051959713668,"0,000273682411127558"
6,6,"0,612344026565552","0,036829995803076","0,0382451057434082","0,00161288116974901",3,10,"{'model__max_depth': 3, 'model__n_estimators': 10}","-0,209856877968542","-0,214713600005136","-0,211607943862383","-0,211253661545552","-0,213627532831933",-0.212211923242709,"0,00173733312569819",81,"-0,211745924932917","-0,210887666852713","-0,211366378537247","-0,211747189574707","-0,211080360321485",-0.211365504043814,"0,00034642170419299","-0,173609596656829","-0,177870750304804","-0,174255412676197","-0,174875972579802","-0,176310419687555",-0.175384430381038,"0,00153117523629239",81,"-0,175037085986429","-0,174167212098519","-0,174733615182841","-0,174849481354892","-0,174398219013363",-0.174637122727209,"0,000313773349064815"
7,7,"1,01666822433472","0,00502986822748135","0,0394702911376953","0,000663287147664045",3,20,"{'model__max_depth': 3, 'model__n_estimators': 20}","-0,209722533659989","-0,214551573669874","-0,211685924811457","-0,211141265651124","-0,213605428936048",-0.212141345345698,"0,00173268338502029",79,"-0,21168930801834","-0,210800207697237","-0,211312640385663","-0,211600586607402","-0,211122060302141",-0.211304960602157,"0,000323544329312007","-0,173535235232401","-0,177681319864909","-0,174326856538783","-0,174723444523904","-0,176240440996318",-0.175301459431263,"0,00147979201342301",79,"-0,174995009852581","-0,174068943032608","-0,174680979694922","-0,17473557348505","-0,174358759773691",-0.174567853167771,"0,000321254391337218"
8,8,"1,45448212623596","0,00907379941687896","0,0427994728088379","0,000363450993723495",3,30,"{'model__max_depth': 3, 'model__n_estimators': 30}","-0,209723799054328","-0,21453718653689","-0,211725097978143","-0,211175239399929","-0,213584748360687",-0.212149214265995,"0,00171897122244191",80,"-0,211697416388164","-0,21076409403017","-0,2113356725995","-0,211621628501415","-0,211195116719714",-0.211322785647793,"0,000334142782389574","-0,173564034563104","-0,177686505005824","-0,174379265113699","-0,174705581828741","-0,176265082645619",-0.175320093831397,"0,00147237451327225",80,"-0,175010234344942","-0,174056408760473","-0,174722968241031","-0,174785003692023","-0,174395764189703",-0.174594075845635,"0,000333066959036198"
9,9,"1,02648978233337","0,139644443318456","0,0483491897583008","0,0116560473883226",4,10,"{'model__max_depth': 4, 'model__n_estimators': 10}","-0,207388559912307","-0,21115420714359","-0,208467432280659","-0,208504688307897","-0,210648156888004",-0.209232608906491,"0,00142913933766561",78,"-0,208067148773361","-0,207301001206254","-0,207453376696469","-0,207901496208696","-0,207345057039912",-0.207613615984938,"0,000311157693068903","-0,171207737024181","-0,174953684090932","-0,171340892430591","-0,172509616543946","-0,173569786729899",-0.17271634336391,"0,0014102874490028",78,"-0,171743354759614","-0,171145666998441","-0,171358075190176","-0,17155605376098","-0,171199695648594",-0.171400569271561,"0,000223073281890753"
